probe_id,condition,answer_source,failure_category,evidence_excerpt
R03,pure,gpt-5.4,answer_wrong,last work as CLI/onboarding/model-resolution cleanup (`verified`); Codex-first + claude-login warning (`verified`); `--yes` path + memory-ID prefix lookup (`verified`); synthesis mostly shipped (`inferred`). Failure: slightly too confident 
R03,pure,opus-4.6,stale_state_selection,"`finalize_memex` + Stop hook rewrite (`verified`); bug1 closed, bug2 still pending validation (`verified/inferred`); onboarding/provider strategy was latest active work (`verified`); Codex proxy model question remained open (`verified`). Fa"
R03,production,gpt-5.4,stale_state_selection,onboarding/provider strategy became latest active work (`verified`); Codex default + claude-login warning + `SKILL.md` rewrite + `--yes` (`verified`); memex short-ID lookup and Codex proxy model were adjacent investigations (`verified`); sy
R03,production,opus-4.6,stale_state_selection,"synthesis modernization centered on `finalize_memex` + Stop hook (`verified`); bug1 closed, bug2 fix committed but awaiting validation (`verified/inferred`); later docs/model-resolution work was secondary (`verified`). Failure: slightly sta"
R03,zero,gpt-5.4,stale_state_selection,"latest work was onboarding/setup/provider strategy, not synthesis (`verified`); Codex first + claude-login warning + `--yes` path (`verified`); synthesis was ""mostly shipped"" with bug1 closed and bug2 open (`inferred`, stale); architecture/"
R03,zero,opus-4.6,contradicted_evidence,`finalize_memex` rewrite had landed (`contradicted`); HEAD pinned to mid-day `b609bcf` (`contradicted`); later onboarding/provider commits ignored (`contradicted`); synthesis not actually closed (`verified`). Failure: stale mid-day snapshot
R03,zero,opus-4.6,stale_state_selection,`finalize_memex` rewrite had landed (`contradicted`); HEAD pinned to mid-day `b609bcf` (`contradicted`); later onboarding/provider commits ignored (`contradicted`); synthesis not actually closed (`verified`). Failure: stale mid-day snapshot
R07,production,gpt-5.4,reference_ambiguous,Hephaestus/stash-pop forensic thread + memex routing/pointer invention (`verified`); Mar 13 -> Mar 14 arc from research spiral to Observe implementation (`verified/inferred`); real-time distribution was next priority (`verified`); big count
R07,production,opus-4.6,reference_ambiguous,"Observe Phase 2 + memory research + tool reduction + tags debate arc (`verified`); research -> architecture -> implementation -> validation chronology (`verified`); 9 threads broadly backed, but counts uncheckable; timing bins approximate ("
R07,production,opus-4.6,stale_state_selection,"Observe Phase 2 + memory research + tool reduction + tags debate arc (`verified`); research -> architecture -> implementation -> validation chronology (`verified`); 9 threads broadly backed, but counts uncheckable; timing bins approximate ("
R07,pure,gpt-5.4,reference_ambiguous,"memorix, architecture route, emergent pointer, Hermes gap, compaction/handoff threads (`verified`); yesterday/today split into 5 active memories + 3 links (`uncheckable`); Observe implementation later active thread (`verified/inferred`); UU"
R07,pure,gpt-5.4,unsupported_inference,"memorix, architecture route, emergent pointer, Hermes gap, compaction/handoff threads (`verified`); yesterday/today split into 5 active memories + 3 links (`uncheckable`); Observe implementation later active thread (`verified/inferred`); UU"
R07,pure,opus-4.6,reference_ambiguous,two-day timeline and thread set accurate at high level (`verified`); research spiral -> implementation arc right (`verified`); hour-by-hour specificity and counts uncheckable; invented UUID detail unsupported. Failure: overprecision around 
R07,pure,opus-4.6,unsupported_inference,two-day timeline and thread set accurate at high level (`verified`); research spiral -> implementation arc right (`verified`); hour-by-hour specificity and counts uncheckable; invented UUID detail unsupported. Failure: overprecision around 
R07,zero,gpt-5.4,contradicted_evidence,"`syke.db` sparse / MEMEX-only framing (`partly uncheckable`); ""no accessible session traces"" and ""no recoverable threads"" (`contradicted` by corpus); future-dated MEMEX references correctly ignored (`verified`); answer not restart-capable. "
R07,zero,gpt-5.4,reference_ambiguous,"`syke.db` sparse / MEMEX-only framing (`partly uncheckable`); ""no accessible session traces"" and ""no recoverable threads"" (`contradicted` by corpus); future-dated MEMEX references correctly ignored (`verified`); answer not restart-capable. "
R07,zero,gpt-5.4,wrong_restart_risk,"`syke.db` sparse / MEMEX-only framing (`partly uncheckable`); ""no accessible session traces"" and ""no recoverable threads"" (`contradicted` by corpus); future-dated MEMEX references correctly ignored (`verified`); answer not restart-capable. "
R07,zero,opus-4.6,reference_ambiguous,major Observe/memory threads present in slice (`verified`); answer too sparse / not restart-capable (`inferred`); overly cautious instead of restoring live thread (`unsupported`); timeline routing fuzzy (`uncheckable`). Failure: generic and
R07,zero,opus-4.6,unsupported_inference,major Observe/memory threads present in slice (`verified`); answer too sparse / not restart-capable (`inferred`); overly cautious instead of restoring live thread (`unsupported`); timeline routing fuzzy (`uncheckable`). Failure: generic and
R07,zero,opus-4.6,wrong_restart_risk,major Observe/memory threads present in slice (`verified`); answer too sparse / not restart-capable (`inferred`); overly cautious instead of restoring live thread (`unsupported`); timeline routing fuzzy (`uncheckable`). Failure: generic and
R08,production,gpt-5.4,contradicted_evidence,bootstrap stub / 1 memory / 0 links framing (`unsupported`); Claude corpus present and Codex root absent (`verified`); almost no durable memory yet (`contradicted` by live Observe traces); asks to scan recent Claude sessions next (`inferred
R08,production,gpt-5.4,unsupported_inference,bootstrap stub / 1 memory / 0 links framing (`unsupported`); Claude corpus present and Codex root absent (`verified`); almost no durable memory yet (`contradicted` by live Observe traces); asks to scan recent Claude sessions next (`inferred
R08,production,opus-4.6,contradicted_evidence,Observe Phase 2 / architecture locked / real-time next (`verified`); Thread 12 promoted and Thread 33 active (`verified`); empty-durable-store framing wrong for work state (`contradicted`); restart value low because live thread ordering mis
R08,production,opus-4.6,stale_state_selection,Observe Phase 2 / architecture locked / real-time next (`verified`); Thread 12 promoted and Thread 33 active (`verified`); empty-durable-store framing wrong for work state (`contradicted`); restart value low because live thread ordering mis
R08,production,opus-4.6,wrong_restart_risk,Observe Phase 2 / architecture locked / real-time next (`verified`); Thread 12 promoted and Thread 33 active (`verified`); empty-durable-store framing wrong for work state (`contradicted`); restart value low because live thread ordering mis
R08,pure,gpt-5.4,reference_ambiguous,local db empty / no memories / no links (`uncheckable`); Observe Phase 2 foundation complete and capture semantics locked (`verified`); real-time distribution is killer feature and next priority (`verified`); Thread 12/14/15/17 updates corr
R08,pure,gpt-5.4,wrong_restart_risk,local db empty / no memories / no links (`uncheckable`); Observe Phase 2 foundation complete and capture semantics locked (`verified`); real-time distribution is killer feature and next priority (`verified`); Thread 12/14/15/17 updates corr
R08,pure,opus-4.6,contradicted_evidence,"blank-slate pure-condition framing (`verified` for replay state, incomplete for work state); no sessions/traces on disk (`contradicted` by slice corpus); Observe capture architecture and next-thread order right (`verified`); restart path to"
R08,pure,opus-4.6,wrong_restart_risk,"blank-slate pure-condition framing (`verified` for replay state, incomplete for work state); no sessions/traces on disk (`contradicted` by slice corpus); Observe capture architecture and next-thread order right (`verified`); restart path to"
R09,production,gpt-5.4,contradicted_evidence,Observe vision / adapter protocol / migrations / memory architecture / proxy-interoperability are main themes (`verified`); events-as-unit and tool-calls-as-events (`verified`); `syke.db` updated to reflect map (`unsupported`); UUID-labeled
R09,production,gpt-5.4,unsupported_inference,Observe vision / adapter protocol / migrations / memory architecture / proxy-interoperability are main themes (`verified`); events-as-unit and tool-calls-as-events (`verified`); `syke.db` updated to reflect map (`unsupported`); UUID-labeled
R09,production,opus-4.6,contradicted_evidence,aggregate totals and thread clustering plausible but not fully verified (`uncheckable`); per-project counts drift from anchor (`contradicted` in places); opencode and Documents coverage incomplete (`contradicted`); adapter protocol/path det
R09,production,opus-4.6,reference_ambiguous,aggregate totals and thread clustering plausible but not fully verified (`uncheckable`); per-project counts drift from anchor (`contradicted` in places); opencode and Documents coverage incomplete (`contradicted`); adapter protocol/path det
R09,production,opus-4.6,stale_state_selection,aggregate totals and thread clustering plausible but not fully verified (`uncheckable`); per-project counts drift from anchor (`contradicted` in places); opencode and Documents coverage incomplete (`contradicted`); adapter protocol/path det
R09,pure,gpt-5.4,contradicted_evidence,Observe Phase 2 mostly closed / hardening (`verified/inferred`); real-time distribution promoted to next critical thread (`verified`); memory retrieval cutoff bug open (`verified`); persisted-map note stale relative to live trace (`contradi
R09,pure,gpt-5.4,stale_state_selection,Observe Phase 2 mostly closed / hardening (`verified/inferred`); real-time distribution promoted to next critical thread (`verified`); memory retrieval cutoff bug open (`verified`); persisted-map note stale relative to live trace (`contradi
R09,pure,opus-4.6,contradicted_evidence,Observe Phase 2 complete / hardening (`verified/inferred`); real-time distribution as killer feature and next priority (`verified`); thread-15 deprioritized and priority order right (`verified`); commit/test counts uncheckable and partly co
R09,pure,opus-4.6,reference_ambiguous,Observe Phase 2 complete / hardening (`verified/inferred`); real-time distribution as killer feature and next priority (`verified`); thread-15 deprioritized and priority order right (`verified`); commit/test counts uncheckable and partly co
R09,pure,opus-4.6,unsupported_inference,Observe Phase 2 complete / hardening (`verified/inferred`); real-time distribution as killer feature and next priority (`verified`); thread-15 deprioritized and priority order right (`verified`); commit/test counts uncheckable and partly co
R14,production,gpt-5.4,stale_state_selection,"latest claude-code synthesis run at 2026-03-16 23:54:19 (`verified`); empty response (`verified`); no `finalize_memex` / stop-hook warning (`verified`); saved to `syke.db` + refreshed MEMEX (`unsupported`). Failure: right narrow session, bu"
R14,production,gpt-5.4,unsupported_inference,"latest claude-code synthesis run at 2026-03-16 23:54:19 (`verified`); empty response (`verified`); no `finalize_memex` / stop-hook warning (`verified`); saved to `syke.db` + refreshed MEMEX (`unsupported`). Failure: right narrow session, bu"
R14,production,opus-4.6,stale_state_selection,observe-layer sandbox/replay (`verified/inferred`); 31 proofs + 2 sync cycles (`inferred`); Kimi-on-Azure / LiteLLM blocker (`verified`); adapter redesign + cost fix (`inferred`). Failure: chronology overpacked and specifics embellished. Hu
R14,pure,gpt-5.4,unsupported_inference,observe/sandbox tests green (60; 546/12) (`verified`); uncommitted observe/sense refactor exists (`verified/inferred`); real-data replay still failing on `finalize_memex` (`verified`); saved into syke.db/MEMEX (`unsupported`). Failure: good
R14,pure,opus-4.6,answer_wrong,resumed observe-layer work (`verified`); five pipeline gaps (`verified/inferred`); adapter rebuild / `build_llm_fn` / SQLite adapter work (`inferred`); Kimi-on-Azure rate-limit / wrong field / retries (`verified/inferred`). Failure: mostly 
R14,zero,gpt-5.4,unsupported_inference,green test state + uncommitted observe/sense work (`verified`); cold-start replay not settled / syke connect incomplete (`inferred`); SQLite harnesses may need separate handling (`speculative`); new memory + MEMEX projection (`unsupported`)
R14,zero,opus-4.6,answer_wrong,`ses_307e0d6d` Mar 16 evening -> Mar 17 (`verified`); observe tests + sandbox investigation + 5 gaps (`verified/inferred`); 17 successful synthesis cycles earlier that day (`verified/inferred`); Kimi-on-Azure failure spiral (`verified/infer
R19,production,gpt-5.4,contradicted_evidence,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,gpt-5.4,reference_ambiguous,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,gpt-5.4,stale_state_selection,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,gpt-5.4,unsupported_inference,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,opus-4.6,answer_wrong,"no substantive answer; timeout after 600s (`verified`); no claims to audit (`uncheckable`). Failure: generation timeout, not reasoning miss. Human-review question: should this cell be excluded from comparison because Opus never produced con"
R19,production,opus-4.6,reference_ambiguous,"no substantive answer; timeout after 600s (`verified`); no claims to audit (`uncheckable`). Failure: generation timeout, not reasoning miss. Human-review question: should this cell be excluded from comparison because Opus never produced con"
R19,pure,gpt-5.4,contradicted_evidence,"replay/eval sandbox clean slate (`verified`); `bb3706f` cleanup commit + UI rename (`verified`); fresh 5-prompt run (`chronology contradicted`); `minimal_exclude` prompt (`unsupported`). Failure: right thread, wrong ordering. Human-review q"
R19,pure,gpt-5.4,stale_state_selection,"replay/eval sandbox clean slate (`verified`); `bb3706f` cleanup commit + UI rename (`verified`); fresh 5-prompt run (`chronology contradicted`); `minimal_exclude` prompt (`unsupported`). Failure: right thread, wrong ordering. Human-review q"
R19,pure,gpt-5.4,unsupported_inference,"replay/eval sandbox clean slate (`verified`); `bb3706f` cleanup commit + UI rename (`verified`); fresh 5-prompt run (`chronology contradicted`); `minimal_exclude` prompt (`unsupported`). Failure: right thread, wrong ordering. Human-review q"
R19,pure,opus-4.6,contradicted_evidence,fresh boot / empty syke.db (`unsupported`); late-night Mar 21 architecture session (`contradicted`); Syke Sandbox / replay sandbox eval harness arc (`inferred`); misses later tool-stripping/operationalization (`contradicted`). Failure: stal
R19,pure,opus-4.6,stale_state_selection,fresh boot / empty syke.db (`unsupported`); late-night Mar 21 architecture session (`contradicted`); Syke Sandbox / replay sandbox eval harness arc (`inferred`); misses later tool-stripping/operationalization (`contradicted`). Failure: stal
R19,pure,opus-4.6,unsupported_inference,fresh boot / empty syke.db (`unsupported`); late-night Mar 21 architecture session (`contradicted`); Syke Sandbox / replay sandbox eval harness arc (`inferred`); misses later tool-stripping/operationalization (`contradicted`). Failure: stal
R19,zero,gpt-5.4,contradicted_evidence,background synthesis run at 23:57-23:59 with opencode ingestion (`uncheckable`); most recent direct work was Mar 20 interrupted Codex turn (`contradicted`); no later 3/21 direct work (`contradicted`). Failure: merges older interrupted chat 
R19,zero,gpt-5.4,reference_ambiguous,background synthesis run at 23:57-23:59 with opencode ingestion (`uncheckable`); most recent direct work was Mar 20 interrupted Codex turn (`contradicted`); no later 3/21 direct work (`contradicted`). Failure: merges older interrupted chat 
R19,zero,opus-4.6,stale_state_selection,"local LLM setup/benchmarking on M2 Max (`verified/inferred`); Qwen3.5-35B-A3B + partial Qwen3.5-9B + GUI scan limit (`mostly verified`, partial-download overclaim); M5 Max benchmark / bandwidth formula / MLX advantage (`verified/inferred`);"
